City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sidi Ali,DZ,61.57,broken clouds,36.0998,0.4206,Khaled
4,Port Alfred,ZA,71.19,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
6,Filingue,NE,74.08,overcast clouds,14.3521,3.3168,Chez Zarkilou Issa
7,Salta,AR,90.19,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
9,Mataura,NZ,63.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
10,Carnarvon,AU,70.3,clear sky,-24.8667,113.6333,Hospitality Carnarvon
11,Umm Kaddadah,SD,63.64,clear sky,13.6017,26.6876,
12,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Pirineos
16,Port Elizabeth,ZA,73.09,few clouds,-33.918,25.5701,39 On Nile Guest House
17,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
18,Cape Town,ZA,72.12,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
19,Muisne,EC,75.34,overcast clouds,0.6,-80.0333,Quinta Samay
21,Ponta Do Sol,PT,73.71,broken clouds,32.6667,-17.1,Hotel do Campo
24,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
29,Sibolga,ID,73.62,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
30,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
31,Bredasdorp,ZA,69.31,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
33,Castro,BR,68.23,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
34,Santa Cruz Cabralia,BR,79.03,clear sky,-16.2781,-39.0247,Puerto Princesa Inn
37,Bluff,NZ,63.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
40,Tautira,PF,77.74,light rain,-17.7333,-149.15,Pension Oaoa
43,Buala,SB,83.1,light rain,-8.145,159.5921,Maringe Lagoon Lodge
44,Rikitea,PF,76.69,few clouds,-23.1203,-134.9692,People ThankYou
47,East London,ZA,71.67,light rain,-33.0153,27.9116,Tu Casa
51,Kapaa,US,77.09,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Hirara,JP,70.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
57,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
60,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
61,Hilo,US,80.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
62,Manzanillo,CU,81.73,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
64,Cabo San Lucas,MX,80.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
65,Sabha,LY,66.13,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
66,Limbang,MY,75.31,overcast clouds,4.75,115.0,Purnama Hotel
67,Huarmey,PE,70.41,overcast clouds,-10.0681,-78.1522,Hotel Miramar
69,Butaritari,KI,80.62,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
70,Faanui,PF,77.95,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Bama,NG,70.86,clear sky,11.5221,13.6856,UN Humanitarian Hub
74,Tiznit,MA,63.46,clear sky,29.5833,-9.5,
75,Ambovombe,MG,74.17,broken clouds,-25.1667,46.0833,RELAHARA
77,Inhambane,MZ,77.52,few clouds,-23.865,35.3833,Oceano
80,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
81,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
82,Kahului,US,80.96,clear sky,20.8947,-156.47,Maui Seaside Hotel
