City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Anshun,CN,26.25,105.9333,40.14,74,100,6.85,overcast clouds
1,Sidi Ali,DZ,36.0998,0.4206,61.57,81,67,25.5,broken clouds
2,Nikolskoye,RU,59.7035,30.7861,19.29,87,100,11.52,overcast clouds
3,Ukiah,US,39.1502,-123.2078,48.36,83,100,5.75,overcast clouds
4,Port Alfred,ZA,-33.5906,26.891,71.19,90,98,8.01,overcast clouds
5,Barrow,US,71.2906,-156.7887,6.82,78,0,25.32,clear sky
6,Filingue,NE,14.3521,3.3168,74.08,12,96,10.13,overcast clouds
7,Salta,AR,-24.7859,-65.4117,90.19,33,40,6.91,scattered clouds
8,Fort Nelson,CA,58.8053,-122.7002,2.95,66,20,3.0,few clouds
9,Mataura,NZ,-46.1927,168.8643,63.48,60,85,1.74,overcast clouds
10,Carnarvon,AU,-24.8667,113.6333,70.3,77,0,16.89,clear sky
11,Umm Kaddadah,SD,13.6017,26.6876,63.64,21,0,11.52,clear sky
12,San Cristobal,VE,7.7669,-72.225,69.98,80,70,2.28,broken clouds
13,Thompson,CA,55.7435,-97.8558,26.76,100,100,4.61,overcast clouds
14,Bethel,US,41.3712,-73.414,33.89,85,100,5.99,snow
15,Ust-Kulom,RU,61.6864,53.6902,1.85,99,93,2.53,overcast clouds
16,Port Elizabeth,ZA,-33.918,25.5701,73.09,95,20,19.57,few clouds
17,Saint-Joseph,RE,-21.3667,55.6167,75.58,83,69,12.77,broken clouds
18,Cape Town,ZA,-33.9258,18.4232,72.12,90,75,14.0,light rain
19,Muisne,EC,0.6,-80.0333,75.34,81,94,9.6,overcast clouds
20,Mildura,AU,-34.2,142.15,56.07,73,4,23.85,clear sky
21,Ponta Do Sol,PT,32.6667,-17.1,73.71,88,76,7.78,broken clouds
22,Iqaluit,CA,63.7506,-68.5145,-0.31,77,20,5.75,few clouds
23,New Norfolk,AU,-42.7826,147.0587,56.91,90,98,1.99,overcast clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,80.56,90,52,5.99,broken clouds
25,Georgetown,MY,5.4112,100.3354,78.73,87,20,0.0,few clouds
