City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Iracoubo,GF,2022-11-30 04:11:29,5.4802,-53.2011,75.76,90,88,5.82
1,Pevek,RU,2022-11-30 04:11:29,69.7008,170.3133,7.18,95,100,11.97
2,Halifax,CA,2022-11-30 04:10:49,44.6453,-63.5724,28.47,74,5,4.0
3,Bali,ID,2022-11-30 04:11:30,-8.5,115.0,85.23,65,85,5.68
4,Rikitea,PF,2022-11-30 04:10:33,-23.1203,-134.9692,72.18,72,82,13.2
5,San Patricio,US,2022-11-30 04:07:13,28.017,-97.5169,71.83,92,1,3.85
6,Mahebourg,MU,2022-11-30 04:11:30,-20.4081,57.7,79.25,68,80,9.84
7,Hualmay,PE,2022-11-30 04:07:16,-11.0964,-77.6139,67.59,81,100,6.44
8,Ponta Do Sol,PT,2022-11-30 04:11:30,32.6667,-17.1,63.23,72,18,3.4
9,Kapaa,US,2022-11-30 04:11:31,22.0752,-159.319,79.12,84,0,3.44
10,Port Blair,IN,2022-11-30 04:11:31,11.6667,92.75,86.04,70,40,6.91
11,Salinopolis,BR,2022-11-30 04:11:31,-0.6136,-47.3561,76.66,85,100,4.21
12,Castro,BR,2022-11-30 04:11:32,-24.7911,-50.0119,58.62,97,95,4.47
13,Dalbandin,PK,2022-11-30 04:11:32,28.8947,64.4101,58.41,34,1,6.46
14,Qaanaaq,GL,2022-11-30 04:11:32,77.484,-69.3632,-18.09,81,19,6.51
15,Ushuaia,AR,2022-11-30 04:11:32,-54.8,-68.3,46.06,66,75,14.97
16,Cape Town,ZA,2022-11-30 04:07:17,-33.9258,18.4232,65.26,85,75,4.0
17,Poya,NC,2022-11-30 04:11:33,-21.35,165.15,83.14,70,87,1.36
18,Jiutai,CN,2022-11-30 04:11:33,44.1525,125.8328,6.87,43,53,19.37
19,Bodo,NO,2022-11-30 04:11:33,67.28,14.405,37.78,71,20,13.8
20,Bethel,US,2022-11-30 04:11:34,41.3712,-73.414,34.63,87,0,0.0
21,Talaya,RU,2022-11-30 04:11:34,61.3833,152.75,-18.51,99,100,6.13
22,Cam Ranh,VN,2022-11-30 04:11:34,11.9214,109.1591,87.76,62,20,12.66
23,Chabahar,IR,2022-11-30 04:11:35,25.2919,60.643,77.47,38,16,3.29
24,Longyearbyen,SJ,2022-11-30 04:11:35,78.2186,15.6401,31.84,86,75,16.11
25,Torbay,CA,2022-11-30 04:09:29,47.6666,-52.7314,27.39,76,44,5.01
26,Kenai,US,2022-11-30 04:11:35,60.5544,-151.2583,-5.71,84,0,3.44
27,Dikson,RU,2022-11-30 04:11:35,73.5069,80.5464,4.89,98,98,4.05
28,Jamestown,US,2022-11-30 04:11:36,42.097,-79.2353,49.59,80,0,16.11
29,Hasaki,JP,2022-11-30 04:11:36,35.7333,140.8333,68.29,77,100,12.75
30,Punta Arenas,CL,2022-11-30 04:08:48,-53.15,-70.9167,46.11,61,100,24.96
31,Ewa Beach,US,2022-11-30 04:11:37,21.3156,-158.0072,80.55,71,0,8.05
32,Lompoc,US,2022-11-30 04:11:37,34.6391,-120.4579,48.78,86,0,3.44
33,Lethem,GY,2022-11-30 04:11:37,3.3803,-59.7968,75.43,88,81,8.68
